호선,역명,행정구,행정동
4호선,남태령,서초구,방배2동
5,방화,강서구,방화동
5,개화산,강서구,방화동
5,김포공항,강서구,방화동
5,송정,강서구,공항동
5,마곡,강서구,가양동
5,발산,강서구,가양동
5,우장산,강서구,화곡동
5,화곡,강서구,화곡동
5,까치산,강서구,화곡동
5,신정(은행정),양천구,신정동
5,목동,양천구,목동
5,오목교(목동운동장앞),양천구,목동
5,양평,영등포구,양평동2가
5,영등포구청,영등포구,당산동3가
5,영등포시장,영등포구,영등포동5가
5,신길,영등포구,영등포동1가
5,여의도,영등포구,여의도동
5,여의나루,영등포구,여의도동
5,마포,마포구,도화동
5,공덕 ,마포구,공덕동
5,애오개,마포구,아현동
5,충정로(경기대입구),서대문구,충정로3가
5,서대문,종로구,평동
5,광화문(세종문화회관),종로구,세종로
5,종로3가(탑골공원),종로구,낙원동
5,을지로4가,중구,을지로4가
5,동대문역사문화공원,중구,광희동
5,청구,중구,신당동
5,신금호,성동구,금호동2가
5,행당,성동구,행당동
5,왕십리,성동구,행당동
5,마장,성동구,마장동
5,답십리,성동구,용답동
5,장한평,동대문구,장안동
5,군자(능동),광진구,능동
5,아차산(어린이대공원후문),광진구,능동
5,광나루(장신대),광진구,광장동
5,천호(풍납토성) ,강동구,천호동
5,강동,강동구,천호동
5,길동,강동구,길동
5,굽은다리(강동구민회관앞),강동구,명일동
5,명일,강동구,명일동
5,고덕,강동구,고덕동
5,상일동,강동구,상일동
5,둔촌동,강동구,둔촌동
5,올림픽공원(한국체대),송파구,방이동
5,방이,송파구,방이동
5,오금,송파구,오금동
5,개롱,송파구,오금동
5,거여,송파구,거여동
5,마천,송파구,마천동
6,응암,은평구,역촌동
6,역촌,은평구,녹번동
6,불광,은평구,대조동
6,독바위,은평구,불광동
6,연신내,은평구,갈현동
6,구산,은평구,구산동
6,새절(신사),은평구,신사동
6,증산(명지대앞),은평구,증산동
6,디지털미디어시티,은평구,수색동
6,월드컵경기장(성산),마포구,성산동
6,마포구청,마포구,성산동
6,망원,마포구,망원동
6,합정,마포구,합정동
6,상수,마포구,상수동
6,광흥창(서강),마포구,창전동
6,대흥(서강대앞),마포구,대흥동
6,효창공원앞(용산구청),용산구,효창동
6,삼각지,용산구,한강로1가
6,녹사평,용산구,용산동
6,이태원,용산구,이태원동
6,한강진,용산구,한남동
6,버티고개,중구,신당동
6,약수,중구,신당동
6,신당,중구,흥인동
6,동묘앞,종로구,숭인동
6,창신,종로구,창신동
6,보문,성북구,보문동
6,안암(고대병원앞),성북구,안암동5가
6,고려대(종암),성북구,종암동
6,월곡(동덕여대),성북구,하월곡동
6,상월곡(한국과학기술연구원),성북구,상월곡동
6,돌곶이,성북구,석관동
6,석계,노원구,월계동
6,화랑대(서울여대입구),노원구,공릉동
6,봉화산,중랑구,신내동
7,장암,의정부시,장암동
7,도봉산,도봉구,도봉동
7,수락산,노원구,상계동
7,마들,노원구,상계동
7,노원,노원구,상계동
7,중계,노원구,중계동
7,하계,노원구,하계동
7,공릉(서울과학기술대),노원구,공릉동
7,태릉입구 ,노원구,공릉동
7,먹골,중랑구,묵동
7,중화,중랑구,중화동
7,상봉(시외버스터미널),중랑구,상봉동
7,면목,중랑구,면목동
7,사가정,중랑구,면목동
7,용마산,중랑구,면목동
7,중곡,광진구,중곡동
7,어린이대공원(세종대),광진구,화양동
7,건대입구,광진구,화양동
7,뚝섬유원지,광진구,자양동
7,청담역,강남구,청담동
7,강남구청,강남구,삼성동
7,학동,강남구,논현동
7,논현,강남구,논현동
7,반포,서초구,잠원동
7,고속터미널,서초구,반포동
7,내방,서초구,방배동
7,이수,동작구,사당동
7,남성,동작구,사당동
7,숭실대입구(살피재),동작구,상도동
7,상도,동작구,상도1동
7,장승배기,동작구,상도동
7,신대방삼거리,동작구,대방동
7,보라매,동작구,대방동
7,신풍,영등포구,신길동
7,대림(구로구청),영등포구,대림동
7,남구로,구로구,구로동
7,가산디지털단지,금천구,가산동
7,철산,광명시,철산동
7,광명사거리,광명시,광명동
7,천왕,구로구,오류동
7,온수(성공회대입구),구로구,온수동
7,까치울,부천시,원미구
7,부천종합운동장,부천시,원미구
7,춘의,부천시,원미구
7,신중동,부천시,원미구
7,부천시청,부천시,원미구
7,상동,부천시,원미구
7,삼산체육관,부평구,삼산동
7,굴포천,부평구,삼산동
7,부평구청,부평구,갈산동
8,암사,강동구,암사동
8,강동구청,강동구,성내동
8,몽촌토성(평화의문),송파구,신천동
8,잠실(송파구청),송파구,신천동
8,석촌,송파구,석촌동
8,송파,송파구,가락동
8,가락시장,송파구,가락동
8,문정,송파구,문정동
8,장지,송파구,장지동
8,복정,송파구,장지동
8,산성,성남시,수정구
8,남한산성입구(성남법원검찰청),성남시,수정구
8,단대오거리,성남시,수정구
8,신흥,성남시,수정구
8,수진,성남시,수정구
8,모란,성남시,수정구
